,x1,x2,x3,x4,x5,bf,bs,mean_es,mean_true,var_true,tau,tau_on,tau_off,tau_on_idu,tau_off_idu,bs_idu,bf_idu,x5_idu,mean_true_idu,tau_idu,var_true_idu,tau_distance,bs_distance,bf_distance,tau_off_distance,tau_on_distance,var_distance,mean_distance
NAA50,1.41846939482118,9.92129788214816,1.43625007443325,9.05481761692422,59.8969194593402,3.31576652269464,8.56359199233592,28.3948716422034,13.8226600985222,25.0239988337696,0.230774140361348,0.142972160665944,0.158617228440778,0.124859503023236,0.211260633766497,7.85329658684421,2.97512671972275,62.8970674773769,11.8884408602151,0.189014231299275,24.8825579964978,0.180955756120183,0.0829436299776296,0.102733350083727,-0.331889579985779,0.126686604988987,0.00565220763521614,0.139931042543244
NEPRO,2.35707900673852,4.7730285324207,2.20278736966364,2.14535598135049,7.95996063453597,0.657633803823965,3.93089125252185,2.5850869668143,1.3756157635468,1.82544659940595,0.172816905347295,0.493833001568733,1.02677009727635,1.24142070900483,2.64675073779549,8.51778119713186,0.257190304924164,6.86131714683579,1.14784946236559,0.167292873627761,1.88389846452192,0.031964648993296,-1.16688294077515,0.608915625339405,-1.57774427285754,-1.51384720150592,-0.0320205834205098,0.165574070330474
GTPBP8,6.13946228580772,4.26501548229933,1.16474205413278,0.933957031387622,4.55162397921814,0.372217937227233,6.55203336906119,2.43878434527596,1.24014778325123,1.60810256752899,0.272462705380215,1.43949355196663,1.24710454013315,0.102037596026686,1.250016409313,2.15059100363417,0.739615426640273,21.0764569862242,0.962365591397849,0.0456606910747314,1.58942965889521,0.832414895055039,0.671767391510963,-0.987049394099321,-0.00233490384016651,0.929115628279625,0.0116117647038368,0.223991201375319
ATG3,13.2411678248465,0.229722930506676,1.25255137934668,0.263374304472746,6.60315083152128,0.0160267929823478,380.603834976792,6.0998588714607,3.29802955665025,4.35743137767033,0.49946300498037,57.6397305904197,4.75578428903378,2.97124529133108,1.39518386870993,31.1345380193589,0.229020090180647,10.478615855176,3.65322580645161,0.34863629480673,6.6736638735727,0.301977741433658,0.918196993413749,-13.2898264445603,0.706634324873177,0.948451436866623,-0.531559144630919,-0.107699535040594
ABHD10,14.8955512493609,0.333753349151138,2.05909034863855,0.481366235152077,5.85046573910452,0.020446547091295,261.108727361409,5.33877188994315,2.69704433497537,3.2496583309543,0.460996518097409,44.6304173044135,4.27759613839145,4.21375245458409,2.50983921278422,29.3258761320055,0.148730031428487,6.95956310867342,2.22983870967742,0.320399236971997,3.9080721139235,0.304985559773153,0.887687108629599,-6.27409037645324,0.413259426186032,0.905585636230038,-0.202610156488619,0.173228752393578
GM4737,14.8267481663808,0.110230685644103,6.74426971766513,0.309406972260987,5.48765177051705,0.00639779107726993,738.125054297009,4.72236988629079,2.59113300492611,3.684656174643,0.472175187727331,134.506540349856,21.7974070473638,2.75734529316378,1.21920227184684,38.9092010547909,0.251474421882674,14.1111093888957,5,0.354330751906337,9.29744279946164,0.249577781475986,0.94728643767302,-38.3064448096957,0.944066637412531,0.979500288342917,-1.52328639601291,-0.929657794676806
PVRL3,12.7358046146511,0.32824779003876,5.75839371318175,0.548860518107365,2.96872698809854,0.020287718675441,115.184711129967,2.33683501511671,1.19581280788177,1.52141277872602,0.402803225987341,38.7993613396369,10.4915429753235,17.903317479494,14.8933550973151,54.4961379601132,0.0304908980524784,3.04391284031753,0.866935483870968,0.28480956234625,1.4398743107715,0.2929312776775,0.526880456394745,-0.502923938381925,-0.419558127183465,0.538566696426412,0.0535939155334245,0.275024085578552
DPPA4,3.29730723856131,4.89562628326152,1.00293599030094,2.49767487944182,19.5801070620311,0.930172956753988,13.1876138029941,12.2667617236607,6.2192118226601,10.3661902534729,0.317629101973612,0.67352102627503,0.401547854989468,0.40374668534688,1.11360459873407,11.4491054885678,0.659043169825829,28.3571504215105,3.81182795698925,0.134422108721395,10.9658895208324,0.576795363251813,0.131828876732169,0.291483196710337,-1.77327990897443,0.400543309568466,-0.0578514625620181,0.387088257212818
DPPA2,1.16271331142909,5.88616444228741,4.79545061539861,9.97159062459417,26.8409242776889,1.47395976491537,5.30197554871594,7.8148986333724,4.00246305418719,7.24290391355317,0.14911792950119,0.197533270235523,0.480911300507162,0.338549352117542,1.10332983047849,8.22742242424997,0.693539383930592,24.3019883889586,2.83333333333333,0.116588539504884,6.69896814715119,0.218145397438918,-0.55176544075963,0.529471970376063,-1.29424808548881,-0.713885219000744,0.075099127766165,0.292102564102564
MORC1,1.94405985539851,7.52203231602162,1.04116035898918,5.60244983482439,51.814140033915,2.25078749727031,13.3912997644773,30.1409700820844,15.0467980295566,27.3788183414018,0.29039945504659,0.25844875077946,0.185840193073646,0.370637296086413,0.79360136491895,18.8749738520201,0.858930418215508,50.9257272576786,8.46774193548387,0.166276308488203,33.1483523639995,0.427422105659507,-0.409495283056031,0.618386711647725,-3.27034298551582,-0.434084300924661,-0.210729840515911,0.437239609460394
C330027C09RIK,13.0340358484188,0.348877631256378,1.07830981775366,0.158167371277738,7.30252409382667,0.022635992690515,272.821620807593,6.17558821441512,3.44088669950739,5.84730278862683,0.471191420294828,37.3599069721972,6.81752379800371,6.30251561744789,3.11743321029029,57.8235245909621,0.106157689206907,9.17467374946019,3.20564516129032,0.349401542641114,6.65886445534668,0.258472188601205,0.788053731152993,-3.68977396566264,0.542732331759058,0.831302695102047,-0.138792481945412,0.0683665458240008
BBX,1.00000002280278,9.99994952693033,14.9999983534386,6.94509810597457,51.4349955992478,0.442517629425953,5.14352563816368,2.2761007722918,1.31896551724138,3.09542284961095,0.0256433484998814,0.100000507013534,2.15979646717082,0.312307404769268,1.69043659113283,7.94522814470136,0.499314940924123,25.4404091077228,1.97983870967742,0.0778225971639902,6.12206942213346,-2.03480636174913,-0.544704683835879,-0.128350392665371,0.217316716261145,-2.12305821336486,-0.977781298249093,-0.501054185114906
RPL24,2.26664365115735,9.96905897161624,1.00379998830729,9.99251847475996,121.69110141655,3.05042642276383,27.6686458785637,84.4011684700664,42.39039408867,102.709303420335,0.348344238775251,0.22736786467117,0.100455154608198,0.128317517863566,0.104236444911546,24.1198178960563,4.30007722967522,187.96979787048,50.5067204301075,0.268695934146341,175.561192998451,0.228648261584423,0.128261715375702,-0.409664300566591,-0.0376415756672319,0.435639165415283,-0.70930175896503,-0.191466168596128
