x1,x2,x3,x4,x5,gene_name,bf,bs,mean_es,mean_true,var_true
1.0019548615750085,9.954506687696089,7.6961674806292875,5.922684844331406,22.28449032409948,ALDH5A1,0.7142385951695313,2.2430095351234733,1.6020439793184529,1.020935960591133,2.0895734755486437
1.000059516948173,9.999855667107266,6.421960445282057,1.420212606757624,53.45606361932895,SOX4,0.21636415181809165,5.346001676498345,1.1566831183536603,0.7302955665024631,2.4068245734451756
4.370013156150578,9.940517965676108,1.0001589483041595,6.234281582732154,54.41496724603214,UQCRFS1,1.6665412751748474,23.921703434141882,39.86650614548934,19.976600985221676,31.05863800088681
1.34728937715028,9.373599702129411,1.0078357718756943,0.47627750504777505,20.87314909772132,SERPINB9B,0.4425168954247045,3.000146468879543,1.3276155012279653,0.8054187192118226,1.8190581475159906
1.1670895519608542,9.05750959528943,7.470691634374295,9.995524899801657,47.36307340036071,SERPINB6A,1.1412178525876895,6.102885956981387,6.964722406413865,3.663793103448276,7.794347123602195
5.275469129323856,7.892272950217597,1.4219115313796813,1.3538332101927362,7.181169819807241,NQO2,0.5818282331509698,4.800143119198729,2.7928587899151815,1.4298029556650247,2.067815990718748
1.2261171314601103,6.803986041776861,1.0462638326089637,1.5979743331167215,26.259426043129444,TUBB2A,1.197677170504248,4.732098498747435,5.667526340527227,2.938423645320197,6.509150656308274
1.1009888332409439,8.192213249314603,1.0036947583161384,5.340467096349225,136.24707682420365,TUBB2B,3.1023534701989464,18.310864912814544,56.80677530461433,28.720443349753694,103.39524123353151
8.550571551587455,0.3727221275093593,1.0300253189172666,0.39656000677435393,8.245371134200154,PRPF4B,0.03915691189747983,189.15602441822253,7.406765783021883,3.769704433497537,5.154050220794129
14.210855628438853,0.20224495711628038,2.402915273283256,0.185064788621157,5.714185401185148,ECI2,0.012012048617544386,401.51045014035776,4.822963047538109,2.543103448275862,3.5332816021089326
1.2131062851359447,4.929524106686727,7.412105813796348,9.974104017955773,24.204298996613225,CDYL,1.0108924253973381,5.956434455868081,6.021314473812758,3.001231527093596,4.884092192938232
9.533756530149189,1.1539645055932815,1.0058287835947395,0.5739125181165009,7.246381153719918,RPP40,0.09985696853268347,59.8677284347744,5.978209874434507,3.0591133004926108,4.183924243620659
14.729607418207559,0.10165662944992905,9.038884972647882,0.5634196251464066,4.350895418473602,FARS2,0.006213550150004733,630.4259916797662,3.9171835151686936,2.0492610837438425,2.58943225234309
2.304259347324934,9.263314675383569,3.4348515290200203,9.974093693422153,25.512346976328935,SSR1,1.6859756751113286,6.346223360912519,10.699578215321768,5.235221674876847,7.746082194942689
14.99196226870586,5.772978172396484,1.0021555561622764,0.8754536587011176,6.479807431005008,RIOK1,0.26726197693699444,16.827541281657055,4.497361949924549,2.3066502463054186,3.147526619814984
1.0064825379480573,9.970447657524728,6.380313121209788,9.972901941848455,27.782948789519708,SNRNP48,1.3500532469229662,2.804593511731933,3.7863505768127803,2.1330049261083746,3.3854937952901314
1.0076121156069253,9.873954290420826,4.358313845959927,9.99548173069748,31.98965865248683,TXNDC5,1.8584739725661392,3.264463930488974,6.066921249194716,3.2044334975369457,5.598106090516482
2.7640067325926094,9.62214515382902,1.0013017498473167,5.104945938636073,36.36797685420913,EEF1E1,2.068687925105396,10.446873464157306,21.6113209904062,10.69704433497537,16.776168811842105
1.2851129933589736,6.22133282866083,2.411233578174143,2.273317106934021,13.497932111632432,TFAP2A,0.7891208358509839,2.788207674764452,2.200232770836253,1.2389162561576355,2.150000303705819
1.0023901489244285,9.561737945687593,9.004531126595031,9.56594813747118,19.89197742867092,GCNT2,0.9558910251648192,2.085344979164553,1.993362549955913,1.2216748768472907,1.83489336888716
1.7891841546418443,2.343133348268537,1.0597469812565556,4.419661355097922,30.089143677377457,PAK1IP1,0.9966450197582397,22.97565315012356,22.898570287763356,11.60960591133005,17.58229972119806
7.580401798286953,1.909764644560769,1.187702351721704,1.5508623197532798,24.448047422733797,TMEM14C,0.2111879172565555,97.0412889230754,20.493947695555942,10.336206896551724,16.191387814107742
3.687584486191766,1.0663986611968344,1.0432450115017124,0.9011178487001299,11.897285717714853,NOL7,0.21665174665981898,41.140567628993196,8.913175835397784,4.548029556650246,7.725187234637039
9.933232820854142,2.3758078389752,1.181430083415921,0.5711864190275807,3.9793000566239844,MCUR1,0.1600161080769006,16.637420450441034,2.6622552689186088,1.3645320197044335,1.8743508288131785
1.0526807993249157,3.7970999515661825,5.460835594879759,9.972351322059067,22.244566324300347,JARID2,1.212370397024236,6.166924273152742,7.476596429460589,3.8017241379310347,6.250403928738466
9.593915007800225,0.6661520215234827,1.0508367747007081,0.26337263852306,4.294357861771745,DTNBP1,0.054371719372579785,61.84730062770588,3.3627440736812018,1.7549261083743843,2.3406045568021
4.6151320090621955,4.444586851893093,1.3712646952040932,1.4005159633645305,7.89264567068036,NUP153,0.4956665446830574,8.195497778478162,4.062234065815943,2.0738916256157633,2.8921905085857627
1.0001755263651337,9.983490776688175,6.4340189687553595,7.53842002644931,21.252153297506553,TPMT,1.048569795905465,2.129103345330815,2.2325134602751753,1.3509852216748768,1.9691358962054986
4.847433737350308,4.141821650848419,1.0015484150285674,2.2748734862561304,41.48946877436748,DEK,0.6208757223179057,48.55772837065877,30.148314676249427,15.163793103448276,31.002731833836474
13.716172173348207,9.981798638214894,14.994868240830476,6.415018101941704,4.4697546644422665,FAM120A,0.2694269332504422,6.141971679873563,1.6548125938194007,0.9137931034482759,1.3045197499893697
14.946525840374582,0.35915801041659307,11.227234341872714,0.7811767549642319,2.5587601777903686,NINJ1,0.017861076289759352,106.48398200086005,1.9019185261547231,0.9876847290640394,1.3340035108392607
1.0026801253606374,9.98888483265493,7.543736366989269,7.470390466331483,14.912227336091858,IPPK,0.9007403895723145,1.4968832082114203,1.3483031641086107,0.8916256157635468,1.0856511149040593
