x1
0.0015
0.0068
0.0117
0.0177
0.0258
0.0321
0.0403
0.0493
0.0497
0.059
0.065
0.0686
0.0638
0.0638
0.0605
0.0571
0.0563
0.0485
0.0451
0.0389
0.0308
0.0259
0.0191
0.0158
0.0132
0.0095
0.0067
0.0055
0.0033
0.0029
0.0023
0.001
0.0015
0.0004
0.0002
0.0001
0.0001
0.0001
0.0001
