,x1,x2,x3,x4,x5,bf,bs,mean_es,mean_true,var_true,tau,tau_on,tau_off,tau_on_idu,tau_off_idu,bs_idu,bf_idu,x5_idu,mean_true_idu,tau_idu,var_true_idu,tau_distance,bs_distance,bf_distance,tau_off_distance,tau_on_distance,var_distance,mean_distance
NBEAL1,3.7402349279348,1.30616764564159,1.04490649212868,1.27014383882157,5.59488792526403,0.271283100494896,16.0210638395305,4.34624387161451,4.30821917808219,6.79513125505008,0.770027788872801,2.86351827838883,0.822667842957169,10.3833563349966,2.45841788832532,30.1250457975977,0.0778708597900674,2.90128209277214,2.45977011494253,0.847821768545176,3.61397913759883,-0.101027496405361,-0.880339913712027,0.712953517384573,-1.98834810351681,-2.62608348385986,0.468151680673871,0.429051769822561
EEF1B2,14.9995529316236,0.283265270663138,14.9997528503263,5.95578883869559,4.13584387371288,0.0180274912481442,219.002523519593,3.94806607607096,4.06164383561644,4.48865024334329,0.982059274875424,52.9523188511918,2.51851656540791,125.662160421092,4.38926519483587,379.661000858607,0.00768926595970758,3.0212834124956,3.22988505747126,1.06904405065507,3.94684738555578,-0.0885738549647927,-0.733591900025031,0.573469993474598,-0.742797825959493,-1.37311912202055,0.120705073555467,0.204783780116687
XRCC5,14.8389643529823,0.955309947969149,5.04756448380984,1.70197263720114,2.14124908163722,0.0540573983605182,33.2603244222647,1.79796660689444,1.96027397260274,2.55671871770299,0.915481524038248,15.5331412433501,2.96571423857345,22.1467466326754,5.2387765074403,44.1653755400815,0.0365156434983398,1.99421505436468,1.88505747126437,0.945262882826302,2.49538236662016,-0.032530813573043,-0.327869655730626,0.324502388094769,-0.766446827311396,-0.425773852546186,0.0239902616811666,0.0383704024996587
RPL37A,3.00645451867861,8.9535064362806,1.17297081012139,8.09400370869557,19.9746633360211,2.08028379462558,6.70719536229109,13.952869819562,13.5643835616438,21.4972208128981,0.679079458484922,0.335785151892685,0.144918491804153,0.277859777309813,0.21245163923794,6.542049792671,2.03952012180529,23.544428977846,13.2528735632184,0.562887873631958,23.1958009434589,0.17110160438691,0.0246221499001751,0.0195952460551755,-0.466007799232778,0.172507254285575,-0.079013940701658,0.0229652897243561
ARPC2,13.1592865120989,3.05242932599609,7.23678099038572,4.97170961715601,3.00218137274094,0.173410050721468,12.9426632448868,2.24438788976671,2.32876712328767,2.8876486836913,0.775691683531281,4.31108638618672,1.45559204934527,0.19675288285875,1.080083851799,3.31145075863179,0.783185487115585,16.8305069309155,3.13218390804598,0.186101578574116,5.78011427812106,0.760083055516463,0.744144563141591,-3.51637885957107,0.257976263139923,0.954361182951664,-1.00166810830059,-0.34499661933739
NCL,2.51303111851057,5.03679885596444,1.0071191624993,4.13127591753287,14.5066673833238,1.34641439877658,7.23787222850985,9.74517538497081,9.53150684931507,15.6540128154537,0.65704317866087,0.498934182280222,0.243779205892579,0.21496811043786,1.2921335265503,5.05553581750651,0.663525256331371,23.5176082964543,3.64367816091954,0.154934044099582,6.87808119061856,0.764195034464318,0.301516294030053,0.507190908731901,-4.30042552981192,0.569145354091765,0.560618655950729,0.617722756902664
PTMA,3.77914454923403,9.99617675196795,1.09950989084723,9.91475648061684,22.4383431568819,2.045176707968,8.48301749151033,17.349269786922,16.9972602739726,26.1700885055528,0.757509596637018,0.378058996254747,0.110896308244862,4.05118543997462,0.606066417398786,58.0189587663003,0.214718900893623,14.3214769173005,12.3448275862069,0.861980063752657,26.3659557504485,-0.137913060876639,-5.83942462978118,0.895012054431737,-4.46516315097318,-9.71574934099654,-0.0074843936754035,0.273716623313102
MYEOV2,1.00903907075498,9.99822406224487,1.0113238117409,9.99853799245225,4.23038496692527,4.94880463753015,0.426938193161846,2.11283371025809,2.07534246575342,2.56633218708307,0.490580049328661,0.100921830164349,0.101147168966536,0.408245174481017,0.768977060937044,3.70128889719362,0.84945728165326,9.06633838819748,2.95977011494253,0.326457053356352,4.76715832835028,0.334548859450979,-7.66937874492413,0.828351017291883,-6.60255644121343,-3.04516221927605,-0.857576486919523,-0.426159857365047
SNRPB,2.19345706473222,9.99966348423027,14.6810222320003,9.99881890198055,8.15495012550484,0.592547390796716,1.7888134929277,1.05995676785627,1.51232876712329,1.92645958998065,0.185449174286601,0.219353088050549,1.46827564094519,0.100029650565423,1.99426619675201,1.70822912604407,0.477487457792026,17.0772277658495,1.06896551724138,0.0625959629922523,1.57903129360176,0.662462972763018,0.045049060286179,0.194178448495038,-0.358236928502217,0.543978835883214,0.180345488784626,0.293165917041479
PCNA,5.06486144790225,9.99916476821497,4.42254472344321,9.99938274928879,1.01450588236526,1.05395154356187,0.513876093790897,0.541600502250461,1.0013698630137,1.33195971212207,0.98705180563277,0.506528451656509,0.442281772218167,0.100001379479875,1.18054173440102,2.81984674759376,0.780918650188465,28.1980784891198,2.52873563218391,0.0896775868313018,4.6205567736363,0.909146018152703,-4.48740597522561,0.259056400686773,-1.66920729850627,0.802575000174544,-2.46899139034384,-1.52527634951334
SNRPB2,2.42449445804693,9.99975130001131,13.2218154925023,9.99967588279213,8.43789344197341,0.639108364892175,2.04581346814414,1.30749650049999,1.79452054794521,2.37472987954977,0.212673999770909,0.242455475672098,1.32222440481845,133.347058683302,7.37232132300663,177.559279505385,0.00710634171323928,1.33155752559257,1.58045977011494,1.18692564139248,1.75938475848781,-4.58096261259499,-85.7915292719516,0.988880850097404,-4.57569599845564,-548.985758472386,0.259122153791498,0.119285776958849
DSTN,12.8126300205013,1.62321229257492,14.993391775025,4.20278304453514,2.08605791136574,0.0872534080543713,16.4660459644931,1.43671862758195,1.44657534246575,1.94844504575606,0.693449273188529,7.89337912182543,3.56749125904104,0.179784663379882,0.198878180399145,0.922671167445743,2.64087173174974,5.1320905248528,2.44827586206897,0.477052353268688,3.54355192346024,0.312058759431432,0.94396522580859,-29.2666886100781,0.944252650964419,0.977223358892927,-0.818656333766514,-0.69246342737722
EIF2S2,14.9994169943484,3.71674112642445,6.06850699822724,4.13504717267622,3.37041100232189,0.181711950063595,13.6017544258724,2.47160132101141,2.61095890410959,3.41222541669015,0.77467077525883,4.03563672694579,1.46757866230089,6.36578765284939,1.49908981952542,16.6115751777015,0.127147562503354,2.60950821541556,2.3448275862069,0.898570685600805,3.36017540362767,-0.159938795032738,-0.221281803625567,0.300279577326337,-0.0214715286028523,-0.57739362672197,0.0152539784763035,0.101928574013098
