x1
0.0001
0.0004
0.0025
0.0076
0.0141
0.0272
0.0441
0.0653
0.0755
0.0963
0.1041
0.0977
0.1015
0.0869
0.0724
0.0601
0.0469
0.033
0.0234
0.0165
0.0089
0.007
0.0033
0.0022
0.0015
0.0008
0.0002
0.0001
0.0
0.0002
0.0001
0.0
0.0001
